Sample	Strain	Treatment	Replicate	Time	m_sample_ma
Sample_L0S5-100	S	0	5	100	1.57
Sample_L1B1-100	B	1	1	100	1.374
Sample_L2S3-100	S	2	3	100	1.177
Sample_L0S4-100	S	0	4	100	1.668
Sample_L2B4-100	B	2	4	100	1.429
Sample_L0B1-100	B	0	1	100	0.785
Sample_L2S2-100	S	2	2	100	4.448
Sample_L0S2-100	S	0	2	100	1.121
Sample_L1S1-100	S	1	1	100	2.093
Sample_L0B2-100	B	0	2	100	1.149
Sample_L2B2-100	B	2	2	100	0.785
Sample_L1S5-100	S	1	5	100	1.884
Sample_L0S3-100	S	0	3	100	1.121
Sample_L1S4-100	S	1	4	100	1.97
Sample_L0B4-100	B	0	4	100	1.047
Sample_L2B5-100	B	2	5	100	2.159
Sample_L1B2-100	B	1	2	100	2.551
Sample_L2S4-100	S	2	4	100	1.413
Sample_L1S2-100	S	1	2	100	1.121
Sample_L0B5-100	B	0	5	100	1.024
Sample_L2B1-100	B	2	1	100	7.327
Sample_L1B5-100	B	1	5	100	1.906
Sample_L0B3-100	B	0	3	100	2.64
Sample_L2S5-100	S	2	5	100	1.221
Sample_L1B3-100	B	1	3	100	5.233
Sample_L1B4-100	B	1	4	100	2.617
Sample_L2S1-100	S	2	1	100	1.121
Sample_L0S1-100	S	0	1	100	1.906
Sample_L1S3-100	S	1	3	100	1.177
